root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,Oct_clusters,DA_clusters,Unknown_clusters
720575940619003969,cell_class,AN,1605,400,0.25,0.04,0.01,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,True,True,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.04,0.05,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,True,False,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.04,0.1,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,False,False,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.02,0.01,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,True,True,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.02,0.05,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,True,False,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.02,0.1,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,False,False,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.01,0.01,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,True,True,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.01,0.05,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,False,False,False,,False,
720575940619003969,cell_class,AN,1605,400,0.25,0.01,0.1,0.0012461059190031153,0.8672897196261682,0.12274143302180686,0.0,0.001869158878504673,0.006853582554517134,0.0,False,False,False,False,,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.14285714285714285,0.01,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,True,True,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.14285714285714285,0.05,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,True,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.14285714285714285,0.1,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.04,0.01,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,True,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.04,0.05,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.04,0.1,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.02,0.01,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,True,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.02,0.05,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,False,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.02,0.1,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,False,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.01,0.01,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,True,True,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.01,0.05,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,False,False,False,False,False,False,
720575940635029146,cell_class,AN,4492,400,0.25,0.01,0.1,0.7526714158504008,0.18967052537845058,0.03695458593054319,0.001558325912733749,0.00578806767586821,0.01313446126447017,0.0002226179875333927,False,False,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.14285714285714285,0.01,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,True,True,True,True,False,True,
720575940640396173,cell_class,AN,2025,400,0.25,0.14285714285714285,0.05,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,True,False,True,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.14285714285714285,0.1,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,True,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.04,0.01,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,True,True,True,True,False,True,
720575940640396173,cell_class,AN,2025,400,0.25,0.04,0.05,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,True,False,True,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.04,0.1,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,True,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.02,0.01,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,True,True,False,True,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.02,0.05,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,False,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.02,0.1,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,False,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.01,0.01,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,True,True,False,True,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.01,0.05,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,False,False,False,False,False,
720575940640396173,cell_class,AN,2025,400,0.25,0.01,0.1,0.012839506172839505,0.6745679012345679,0.03209876543209877,0.0019753086419753087,0.22567901234567903,0.05283950617283951,0.0,False,False,False,False,False,False,
720575940625429647,cell_class,AN,912,400,0.25,0.14285714285714285,0.01,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,True,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.14285714285714285,0.05,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.14285714285714285,0.1,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.04,0.01,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.04,0.05,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.04,0.1,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.02,0.01,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.02,0.05,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.02,0.1,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.01,0.01,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,True,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.01,0.05,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,False,False,False,,False,
720575940625429647,cell_class,AN,912,400,0.25,0.01,0.1,0.023026315789473683,0.9462719298245614,0.01206140350877193,0.0010964912280701754,0.006578947368421052,0.010964912280701754,0.0,False,False,False,False,,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.14285714285714285,0.01,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,True,False,True,
720575940625486357,cell_class,AN,2240,400,0.25,0.14285714285714285,0.05,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.14285714285714285,0.1,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.04,0.01,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,True,
720575940625486357,cell_class,AN,2240,400,0.25,0.04,0.05,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.04,0.1,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.02,0.01,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.02,0.05,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.02,0.1,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,False,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.01,0.01,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,True,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.01,0.05,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,False,False,False,False,False,
720575940625486357,cell_class,AN,2240,400,0.25,0.01,0.1,0.01830357142857143,0.8982142857142857,0.011160714285714286,0.0035714285714285713,0.04375,0.024553571428571428,0.0004464285714285714,False,False,False,False,False,False,
720575940612887080,cell_class,AN,7102,400,0.25,0.14285714285714285,0.01,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,True,True,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.14285714285714285,0.05,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.14285714285714285,0.1,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.04,0.01,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,True,True,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.04,0.05,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.04,0.1,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.02,0.01,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,True,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.02,0.05,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.02,0.1,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,False,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.01,0.01,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,True,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.01,0.05,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,False,False,False,False,False,False,False
720575940612887080,cell_class,AN,7102,400,0.25,0.01,0.1,0.8489157983666573,0.08434243874964799,0.05547733032948465,0.001126443255421008,0.005913827090960293,0.003942551393973529,0.000281610813855252,False,False,False,False,False,False,False
720575940614678751,cell_class,AN,1322,400,0.25,0.14285714285714285,0.01,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,True,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.14285714285714285,0.05,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,False,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.14285714285714285,0.1,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,False,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.04,0.01,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,True,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.04,0.05,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,False,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.04,0.1,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,False,False,False,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.02,0.01,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,True,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.02,0.05,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,False,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.02,0.1,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,False,False,False,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.01,0.01,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,True,True,True,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.01,0.05,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,False,False,False,False,False,False,
720575940614678751,cell_class,AN,1322,400,0.25,0.01,0.1,0.3585476550680787,0.028744326777609682,0.5816944024205749,0.0015128593040847202,0.018910741301059002,0.01059001512859304,0.0,False,False,False,False,False,False,
720575940612608790,cell_class,AN,904,400,0.25,0.14285714285714285,0.01,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,True,False,True,True,False
720575940612608790,cell_class,AN,904,400,0.25,0.14285714285714285,0.05,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.14285714285714285,0.1,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.04,0.01,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,True,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.04,0.05,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.04,0.1,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,False,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.02,0.01,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,True,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.02,0.05,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.02,0.1,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,False,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.01,0.01,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,True,True,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.01,0.05,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,False,False,False,False,False,False
720575940612608790,cell_class,AN,904,400,0.25,0.01,0.1,0.014380530973451327,0.8761061946902655,0.05420353982300885,0.012168141592920354,0.01327433628318584,0.02654867256637168,0.00331858407079646,False,False,False,False,False,False,False
720575940637106295,cell_class,AN,1701,400,0.25,0.14285714285714285,0.01,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,True,True,True,True,True,
720575940637106295,cell_class,AN,1701,400,0.25,0.14285714285714285,0.05,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,False,False,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.14285714285714285,0.1,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,False,False,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.04,0.01,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,True,True,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.04,0.05,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,False,False,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.04,0.1,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,False,False,False,False,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.02,0.01,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,True,True,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.02,0.05,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,False,False,False,False,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.02,0.1,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,False,False,False,False,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.01,0.01,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,True,True,True,True,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.01,0.05,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,False,False,False,False,False,False,
720575940637106295,cell_class,AN,1701,400,0.25,0.01,0.1,0.2863021751910641,0.07818930041152264,0.13580246913580246,0.027630805408583186,0.3915343915343915,0.0805408583186361,0.0,False,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.14285714285714285,0.01,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,True,True,False,False,True,
720575940610906773,cell_class,AN,944,400,0.25,0.14285714285714285,0.05,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,True,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.14285714285714285,0.1,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.04,0.01,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,True,True,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.04,0.05,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.04,0.1,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.02,0.01,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,True,True,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.02,0.05,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.02,0.1,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.01,0.01,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,True,True,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.01,0.05,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,True,False,False,False,False,False,
720575940610906773,cell_class,AN,944,400,0.25,0.01,0.1,0.573093220338983,0.0614406779661017,0.3220338983050847,0.00211864406779661,0.0211864406779661,0.020127118644067795,0.0,False,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.14285714285714285,0.01,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,True,True,False,False,True,
720575940608729795,cell_class,AN,2361,400,0.25,0.14285714285714285,0.05,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.14285714285714285,0.1,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.04,0.01,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,True,True,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.04,0.05,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.04,0.1,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.02,0.01,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,True,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.02,0.05,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.02,0.1,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,False,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.01,0.01,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,True,False,True,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.01,0.05,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,False,False,False,False,False,False,
720575940608729795,cell_class,AN,2361,400,0.25,0.01,0.1,0.7645065650148243,0.07496823379923762,0.13468869123252858,0.0016941973739940702,0.005929690808979246,0.017789072426937738,0.00042354934349851756,False,False,False,False,False,False,
720575940627560386,cell_class,AN,1907,400,0.25,0.14285714285714285,0.01,0.6334556895647614,0.06869428421604615,0.2611431567907708,0.018353434714210803,0.0057682223387519665,0.012585212375458836,0.0,True,True,True,False,True,False,
